nim	onic 105; bg	52; 150MPa; 1098K; BG;
150	.	
109	8	
3		
377	16	
	1.50E+07	6.22E-02
	1.50E+07	6.28E-02
	1.50E+07	6.38E-02
	1.51E+07	6.44E-02
	1.51E+07	6.52E-02
	1.52E+07	6.63E-02
	1.52E+07	6.69E-02
	1.52E+07	6.80E-02
	1.53E+07	6.86E-02
	1.53E+07	6.93E-02
	1.53E+07	7.02E-02
	1.54E+07	7.15E-02
	1.54E+07	7.23E-02
	1.55E+07	7.36E-02
	1.55E+07	7.48E-02
	1.55E+07	7.64E-02
	1.56E+07	7.74E-02
	1.56E+07	7.90E-02
	1.57E+07	8.04E-02
